ligand_name,compound_group,smiles,experimental_pKD,experimental_Kd_nM,num_complex_structures,complex_names,extracted_complex_ref_pdbs,extracted_ligand_ref_sdfs
x7259a,x7259a,CSc1ncnc(N2CCC[C@@H]2C2CC2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,7.938,11.5345,1,A71EV2A-x7259a,nipecotamide_fep_set/structures/x7259a/A71EV2A-x7259a/A71EV2A-x7259a_complex_ref.pdb,nipecotamide_fep_set/structures/x7259a/A71EV2A-x7259a/A71EV2A-x7259a_ligand_ref.sdf
x7135a,x7135a,CSc1ncnc(N2CCC[C@@H]2C(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,7.7602,17.37,1,A71EV2A-x7135a,nipecotamide_fep_set/structures/x7135a/A71EV2A-x7135a/A71EV2A-x7135a_complex_ref.pdb,nipecotamide_fep_set/structures/x7135a/A71EV2A-x7135a/A71EV2A-x7135a_ligand_ref.sdf
x6832a,x6832a,CSc1ncnc(N2CCC[C@@H]2C(N)=O)c1CC(=O)N1CCC[C@H](C(N)=O)C1,7.7144,19.3019,1,A71EV2A-x6832a,nipecotamide_fep_set/structures/x6832a/A71EV2A-x6832a/A71EV2A-x6832a_complex_ref.pdb,nipecotamide_fep_set/structures/x6832a/A71EV2A-x6832a/A71EV2A-x6832a_ligand_ref.sdf
x7132a,x7132a,CSc1ncnc(N2CCC[C@@H]2Cc2ccnn2C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,7.3594,43.7119,1,A71EV2A-x7132a,nipecotamide_fep_set/structures/x7132a/A71EV2A-x7132a/A71EV2A-x7132a_complex_ref.pdb,nipecotamide_fep_set/structures/x7132a/A71EV2A-x7132a/A71EV2A-x7132a_ligand_ref.sdf
x7011a,x7011a,CC[C@H]1CCCN1c1ncnc(SC)c1CC(=O)N1CCC[C@H](C(N)=O)C1,7.3026,49.8196,1,A71EV2A-x7011a,nipecotamide_fep_set/structures/x7011a/A71EV2A-x7011a/A71EV2A-x7011a_complex_ref.pdb,nipecotamide_fep_set/structures/x7011a/A71EV2A-x7011a/A71EV2A-x7011a_ligand_ref.sdf
x7589a,x7589a,COC(=O)N[C@H]1CCN(c2ncnc(SC)c2CC(=O)N2CCC[C@H](C(N)=O)C2)C1,7.2725,53.3949,1,A71EV2A-x7589a,nipecotamide_fep_set/structures/x7589a/A71EV2A-x7589a/A71EV2A-x7589a_complex_ref.pdb,nipecotamide_fep_set/structures/x7589a/A71EV2A-x7589a/A71EV2A-x7589a_ligand_ref.sdf
x7147a,x7147a,CSc1ncnc(N2CCC[C@@H]2CC(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,7.1999,63.1103,1,A71EV2A-x7147a,nipecotamide_fep_set/structures/x7147a/A71EV2A-x7147a/A71EV2A-x7147a_complex_ref.pdb,nipecotamide_fep_set/structures/x7147a/A71EV2A-x7147a/A71EV2A-x7147a_ligand_ref.sdf
x7175a,x7175a,COC[C@H]1CCCN1c1ncnc(SC)c1CC(=O)N1CCC[C@H](C(N)=O)C1,7.1973,63.4892,1,A71EV2A-x7175a,nipecotamide_fep_set/structures/x7175a/A71EV2A-x7175a/A71EV2A-x7175a_complex_ref.pdb,nipecotamide_fep_set/structures/x7175a/A71EV2A-x7175a/A71EV2A-x7175a_ligand_ref.sdf
x7316a,x7316a,CSc1ncnc(N2CC[C@H](OC3CC3)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,7.1595,69.2628,1,A71EV2A-x7316a,nipecotamide_fep_set/structures/x7316a/A71EV2A-x7316a/A71EV2A-x7316a_complex_ref.pdb,nipecotamide_fep_set/structures/x7316a/A71EV2A-x7316a/A71EV2A-x7316a_ligand_ref.sdf
x7570a,x7570a,CSc1ncnc(N2CCC[C@@H]2c2ccccc2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,7.1317,73.8414,1,A71EV2A-x7570a,nipecotamide_fep_set/structures/x7570a/A71EV2A-x7570a/A71EV2A-x7570a_complex_ref.pdb,nipecotamide_fep_set/structures/x7570a/A71EV2A-x7570a/A71EV2A-x7570a_ligand_ref.sdf
