ligand_name,compound_group,experimental_pKD,experimental_delta_g_kcal_mol,smiles,xtal_nagl_raw_delta_g_kcal_mol,xtal_nagl_shifted_delta_g_kcal_mol,xtal_nagl_error_kcal_mol,xtal_nagl_abs_error_kcal_mol,xtal_nagl_reported_error_kcal_mol,docking_nagl_raw_delta_g_kcal_mol,docking_nagl_shifted_delta_g_kcal_mol,docking_nagl_error_kcal_mol,docking_nagl_abs_error_kcal_mol,docking_nagl_reported_error_kcal_mol,docking_am1bcc_raw_delta_g_kcal_mol,docking_am1bcc_shifted_delta_g_kcal_mol,docking_am1bcc_error_kcal_mol,docking_am1bcc_abs_error_kcal_mol,docking_am1bcc_reported_error_kcal_mol,docking_am1bcc_4ns_raw_delta_g_kcal_mol,docking_am1bcc_4ns_shifted_delta_g_kcal_mol,docking_am1bcc_4ns_error_kcal_mol,docking_am1bcc_4ns_abs_error_kcal_mol,docking_am1bcc_4ns_reported_error_kcal_mol,docking_am1bcc_350local_raw_delta_g_kcal_mol,docking_am1bcc_350local_shifted_delta_g_kcal_mol,docking_am1bcc_350local_error_kcal_mol,docking_am1bcc_350local_abs_error_kcal_mol,docking_am1bcc_350local_reported_error_kcal_mol,docking_am1bcc_0local_raw_delta_g_kcal_mol,docking_am1bcc_0local_shifted_delta_g_kcal_mol,docking_am1bcc_0local_error_kcal_mol,docking_am1bcc_0local_abs_error_kcal_mol,docking_am1bcc_0local_reported_error_kcal_mol
x6738a,x6738a,6.266,-8.54837178367254,CCC1(CC)CCN(c2ncnc(SC)c2CC(=O)N2CCC[C@H](C(N)=O)C2)C1,2.164,-8.564688224843843,-0.0163164411713037,0.0163164411713037,0.12,0.303,-8.76139875115963,-0.2130269674870906,0.2130269674870906,0.124,2.28,-8.593543488001737,-0.0451717043291974,0.0451717043291974,0.13,0.093,-8.605767172212262,-0.0573953885397227,0.0573953885397227,0.098,1.746,-8.592504014317525,-0.0441322306449851,0.0441322306449851,0.114,1.962,-8.334714540633316,0.2136572430392238,0.2136572430392238,0.118
x6832a,x6832a,7.7144,-10.52434715735133,CSc1ncnc(N2CCC[C@@H]2C(N)=O)c1CC(=O)N1CCC[C@H](C(N)=O)C1,1.99,-8.738688224843843,1.785658932507488,1.785658932507488,0.111,0.0,-9.064398751159631,1.4599484061916996,1.4599484061916996,0.0,2.025,-8.848543488001736,1.6758036693495946,1.6758036693495946,0.136,0.0,-8.698767172212262,1.8255799851390684,1.8255799851390684,0.0,1.179,-9.159504014317523,1.3648431430338055,1.3648431430338055,0.133,1.078,-9.218714540633316,1.3056326167180146,1.3056326167180146,0.123
x7011a,x7011a,7.3026,-9.96255023738383,CC[C@H]1CCCN1c1ncnc(SC)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.721,-8.007688224843843,1.9548620125399871,1.9548620125399871,0.104,0.802,-8.262398751159632,1.7001514862241986,1.7001514862241986,0.073,2.754,-8.119543488001737,1.8430067493820932,1.8430067493820932,0.126,0.313,-8.385767172212262,1.5767830651715684,1.5767830651715684,0.047,1.635,-8.703504014317526,1.2590462230663046,1.2590462230663046,0.116,1.602,-8.694714540633315,1.2678356967505149,1.2678356967505149,0.118
x7024a,x7024a,6.4622,-8.816037047629857,CSc1ncnc(N2CCC3(CCCC3)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.278,-8.450688224843843,0.3653488227860144,0.3653488227860144,0.124,0.258,-8.80639875115963,0.0096382964702268,0.0096382964702268,0.122,2.548,-8.325543488001736,0.4904935596281206,0.4904935596281206,0.131,-0.057,-8.755767172212263,0.0602698754175943,0.0602698754175943,0.091,1.741,-8.597504014317526,0.2185330333123314,0.2185330333123314,0.106,1.683,-8.613714540633316,0.2023225069965413,0.2023225069965413,0.119
x7025a,x7025a,6.0481,-8.251102359532378,CSc1ncnc(N2CC[C@@H](OC(F)F)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.009,-8.719688224843843,-0.4685858653114643,0.4685858653114643,0.102,0.257,-8.807398751159631,-0.556296391627253,0.556296391627253,0.11,2.007,-8.866543488001737,-0.6154411284693584,0.6154411284693584,0.102,0.025,-8.673767172212262,-0.4226648126798835,0.4226648126798835,0.073,1.64,-8.698504014317525,-0.4474016547851462,0.4474016547851462,0.102,1.616,-8.680714540633316,-0.4296121811009374,0.4296121811009374,0.096
x7026a,x7026a_x7026b,6.2935,-8.58588857653098,CSc1ncnc(N2CC[C@H](C)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.166,-8.562688224843843,0.0232003516871373,0.0232003516871373,0.108,0.497,-8.567398751159631,0.0184898253713488,0.0184898253713488,0.108,2.501,-8.372543488001737,0.2133450885292429,0.2133450885292429,0.104,0.2,-8.498767172212263,0.0871214043187169,0.0871214043187169,0.076,2.023,-8.315504014317526,0.2703845622134544,0.2703845622134544,0.088,2.069,-8.227714540633315,0.3581740358976653,0.3581740358976653,0.099
x7031a,x7031a,6.9258,-9.448501962872529,CSc1ncnc(N2CC[C@H](OC(F)F)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,1.193,-9.535688224843843,-0.0871862619713148,0.0871862619713148,0.109,0.03,-9.034398751159632,0.4141032117128969,0.4141032117128969,0.134,1.874,-8.999543488001736,0.4489584748707926,0.4489584748707926,0.123,-0.442,-9.140767172212264,0.3077347906602661,0.3077347906602661,0.082,1.847,-8.491504014317526,0.9569979485550028,0.9569979485550028,0.122,0.764,-9.532714540633316,-0.0842125777607876,0.0842125777607876,0.125
x7056a,x7056a,6.1312,-8.364471286315522,CSc1ncnc(N2CCC3(CCC3)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.245,-8.483688224843842,-0.1192169385283197,0.1192169385283197,0.117,0.711,-8.35339875115963,0.0110725351558915,0.0110725351558915,0.111,2.448,-8.425543488001736,-0.0610722016862137,0.0610722016862137,0.124,0.593,-8.105767172212262,0.25870411410326,0.25870411410326,0.079,1.95,-8.388504014317526,-0.0240327280020036,0.0240327280020036,0.112,1.826,-8.470714540633315,-0.1062432543177926,0.1062432543177926,0.11
x7093a,x7093a,6.9071,-9.422990543728789,CSc1ncnc(N2CC[C@@H](SC)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,1.928,-8.800688224843842,0.6223023188849464,0.6223023188849464,0.105,0.041,-9.02339875115963,0.3995917925691579,0.3995917925691579,0.119,2.228,-8.645543488001737,0.7774470557270519,0.7774470557270519,0.125,-0.092,-8.790767172212263,0.6322233715165257,0.6322233715165257,0.091,1.38,-8.958504014317526,0.4644865294112623,0.4644865294112623,0.111,1.637,-8.659714540633315,0.7632760030954735,0.7632760030954735,0.114
x7101a,x7101a,6.3886,-8.715628467470538,CSc1ncnc(N2CCC3(CCCCC3)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.26,-8.468688224843843,0.2469402426266942,0.2469402426266942,0.123,0.491,-8.573398751159631,0.142229716310906,0.142229716310906,0.118,2.22,-8.653543488001736,0.0620849794688016,0.0620849794688016,0.131,0.381,-8.317767172212262,0.3978612952582754,0.3978612952582754,0.09,2.058,-8.280504014317525,0.435124453153012,0.435124453153012,0.121,1.765,-8.531714540633315,0.1839139268372225,0.1839139268372225,0.124
