edge_key,reference_ligand_a,reference_ligand_b,reference_oriented_edge_key,docking_am1bcc_ddg_kcal_mol,docking_am1bcc_ddg_err_kcal_mol,docking_am1bcc_failed,docking_am1bcc_score,docking_nagl_oriented_edge_key,docking_nagl_ddg_kcal_mol_original_orientation,docking_nagl_ddg_err_kcal_mol,docking_nagl_failed,docking_nagl_score,docking_nagl_orientation_sign_vs_reference,docking_nagl_ddg_kcal_mol,docking_nagl_minus_docking_am1bcc_ddg_kcal_mol,docking_am1bcc_4ns_oriented_edge_key,docking_am1bcc_4ns_ddg_kcal_mol_original_orientation,docking_am1bcc_4ns_ddg_err_kcal_mol,docking_am1bcc_4ns_failed,docking_am1bcc_4ns_score,docking_am1bcc_4ns_orientation_sign_vs_reference,docking_am1bcc_4ns_ddg_kcal_mol,docking_am1bcc_4ns_minus_docking_am1bcc_ddg_kcal_mol,docking_am1bcc_350local_oriented_edge_key,docking_am1bcc_350local_ddg_kcal_mol_original_orientation,docking_am1bcc_350local_ddg_err_kcal_mol,docking_am1bcc_350local_failed,docking_am1bcc_350local_score,docking_am1bcc_350local_orientation_sign_vs_reference,docking_am1bcc_350local_ddg_kcal_mol,docking_am1bcc_350local_minus_docking_am1bcc_ddg_kcal_mol,docking_am1bcc_0local_oriented_edge_key,docking_am1bcc_0local_ddg_kcal_mol_original_orientation,docking_am1bcc_0local_ddg_err_kcal_mol,docking_am1bcc_0local_failed,docking_am1bcc_0local_score,docking_am1bcc_0local_orientation_sign_vs_reference,docking_am1bcc_0local_ddg_kcal_mol,docking_am1bcc_0local_minus_docking_am1bcc_ddg_kcal_mol,all_docked_edge_ddg_mean_kcal_mol,all_docked_edge_ddg_std_kcal_mol,all_docked_edge_ddg_range_kcal_mol,all_docked_edge_ddg_max_abs_deviation_from_mean_kcal_mol,am1bcc_edge_ddg_mean_kcal_mol,am1bcc_edge_ddg_std_kcal_mol,am1bcc_edge_ddg_range_kcal_mol,am1bcc_edge_ddg_max_abs_deviation_from_mean_kcal_mol,edge_in_docked_graph,xtal_nagl_ddg_kcal_mol,xtal_nagl_ddg_err_kcal_mol,xtal_nagl_failed,xtal_nagl_score,edge_in_xtal_graph
x6738a|x7024a,x6738a,x7024a,x6738a->x7024a,0.09,0.103,False,8.0,x6738a->x7024a,0.028,0.104,False,8.0,1.0,0.028,-0.062,x6738a->x7024a,-0.469,0.072,False,8.0,1.0,-0.469,-0.5589999999999999,x6738a->x7024a,-0.176,0.103,False,8.0,1.0,-0.176,-0.266,x6738a->x7024a,-0.422,0.101,False,8.0,1.0,-0.422,-0.512,-0.1897999999999999,0.2538625612413142,0.5589999999999999,0.2797999999999999,-0.2442499999999999,0.2572215322764924,0.5589999999999999,0.3342499999999999,True,0.265,0.094,False,14.0,True
x6738a|x7026a,x6738a,x7026a,x6738a->x7026a,0.266,0.081,False,13.0,x6738a->x7026a,0.251,0.081,False,13.0,1.0,0.251,-0.015,x6738a->x7026a,0.138,0.058,False,13.0,1.0,0.138,-0.128,x6738a->x7026a,0.284,0.083,False,13.0,1.0,0.284,0.0179999999999999,x6738a->x7026a,0.102,0.083,False,13.0,1.0,0.102,-0.164,0.2082,0.082348041871073,0.182,0.1062,0.1974999999999999,0.0909853468055891,0.182,0.0954999999999999,True,-0.099,0.08,False,13.0,True
x6738a|x7056a,x6738a,x7056a,x6738a->x7056a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.065,0.109,False,11.0,True
x6738a|x7093a,x6738a,x7093a,x6738a->x7093a,0.016,0.084,False,10.0,x6738a->x7093a,-0.378,0.085,False,10.0,1.0,-0.378,-0.394,x6738a->x7093a,0.009,0.061,False,10.0,1.0,0.009,-0.007,x6738a->x7093a,-0.256,0.085,False,10.0,1.0,-0.256,-0.272,x6738a->x7093a,-0.216,0.086,False,10.0,1.0,-0.216,-0.2319999999999999,-0.1649999999999999,0.1726904745491192,0.394,0.213,-0.11175,0.1444261633730768,0.272,0.14425,True,,,,,False
x6832a|x7135a,x6832a,x7135a,x6832a->x7135a,0.439,0.088,False,5.0,x6832a->x7135a,0.938,0.087,False,5.0,1.0,0.938,0.4989999999999999,x6832a->x7135a,0.388,0.062,False,5.0,1.0,0.388,-0.0509999999999999,x6832a->x7135a,0.493,0.087,False,5.0,1.0,0.493,0.0539999999999999,x6832a->x7135a,0.415,0.088,False,5.0,1.0,0.415,-0.024,0.5346,0.2287996940557394,0.5499999999999999,0.4034,0.4337499999999999,0.0446570263228531,0.1049999999999999,0.05925,True,0.618,0.088,False,5.0,True
x6832a|x7175a,x6832a,x7175a,x6832a->x7175a,0.277,0.082,False,9.0,x6832a->x7175a,0.74,0.083,False,9.0,1.0,0.74,0.4629999999999999,x6832a->x7175a,0.129,0.059,False,9.0,1.0,0.129,-0.148,x6832a->x7175a,0.064,0.082,False,9.0,1.0,0.064,-0.213,x6832a->x7175a,0.351,0.083,False,9.0,1.0,0.351,0.0739999999999999,0.3122,0.2650107544987561,0.6759999999999999,0.4278,0.20525,0.1318544020248597,0.287,0.14575,True,0.605,0.079,False,9.0,True
x6832a|x7259a,x6832a,x7259a,x6832a->x7259a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.058,0.082,False,5.0,True
x6832a|x7309a,x6832a,x7309a,x6832a->x7309a,0.892,0.075,False,10.0,x6832a->x7309a,0.484,0.074,False,10.0,1.0,0.484,-0.408,x6832a->x7309a,0.463,0.052,False,10.0,1.0,0.463,-0.429,x6832a->x7309a,0.733,0.073,False,10.0,1.0,0.733,-0.159,x6832a->x7309a,0.255,0.071,False,10.0,1.0,0.255,-0.637,0.5654,0.2491070051202896,0.637,0.3266,0.58575,0.2828042609297109,0.637,0.33075,True,0.071,0.086,False,10.0,True
x6832a|x7475a,x6832a,x7475a,x6832a->x7475a,1.137,0.118,False,13.0,x6832a->x7475a,0.895,0.113,False,13.0,1.0,0.895,-0.242,x6832a->x7475a,1.12,0.083,False,13.0,1.0,1.12,-0.0169999999999999,x6832a->x7475a,1.125,0.118,False,13.0,1.0,1.125,-0.012,x6832a->x7475a,0.845,0.119,False,13.0,1.0,0.845,-0.292,1.0244,0.1421857939458088,0.292,0.1794,1.05675,0.1413467957424811,0.292,0.2117500000000001,True,,,,,False
x6832a|x7570a,x6832a,x7570a,x6832a->x7570a,-0.906,0.092,False,8.0,x6832a->x7570a,-0.155,0.093,False,8.0,1.0,-0.155,0.751,x6832a->x7570a,-0.987,0.065,False,8.0,1.0,-0.987,-0.0809999999999999,x6832a->x7570a,-0.768,0.093,False,8.0,1.0,-0.768,0.138,x6832a->x7570a,-0.684,0.093,False,8.0,1.0,-0.684,0.2219999999999999,-0.7,0.3266152170368062,0.832,0.5449999999999999,-0.83625,0.1359273703122369,0.3029999999999999,0.15225,True,0.442,0.093,False,8.0,True
