engine;min_replicas;site;x;y;z;n_members;n_replicas;mean_occupancy;max_occupancy;spread_A;nearest_crystal_A
GRAND;2;CS001;22.478;22.218;7.547;20;12;0.4820;0.8500;1.253;1.011
GRAND;2;CS002;21.065;20.167;7.528;14;12;0.4500;0.8400;0.970;2.429
GRAND;2;CS003;20.159;19.223;9.940;24;12;0.4433;0.7600;1.218;0.827
GRAND;2;CS004;10.952;27.841;2.222;22;12;0.2136;0.3700;1.231;6.840
GRAND;2;CS005;20.000;21.644;11.871;24;12;0.2087;0.4200;1.411;2.464
GRAND;2;CS006;14.322;23.036;12.266;20;12;0.2020;0.4200;1.189;3.143
GRAND;2;CS007;14.295;26.686;5.095;19;12;0.2000;0.3700;1.371;2.509
GRAND;2;CS008;20.286;21.761;14.642;22;12;0.1995;0.4400;1.447;4.127
GRAND;2;CS009;12.760;26.923;3.073;20;12;0.1970;0.3200;1.241;4.707
GRAND;2;CS010;22.261;20.914;11.025;25;12;0.1876;0.3500;1.109;1.342
GRAND;2;CS011;14.466;27.973;9.511;27;12;0.1837;0.3100;1.551;4.297
GRAND;2;CS012;12.001;29.282;4.433;17;12;0.1718;0.2200;0.935;6.008
GRAND;2;CS013;18.679;23.506;11.550;25;12;0.1712;0.2800;1.417;1.016
GRAND;2;CS014;15.107;26.913;7.993;22;12;0.1686;0.2900;1.144;2.871
GRAND;2;CS015;20.171;22.837;13.437;19;12;0.1579;0.2300;1.181;3.011
GRAND;2;CS016;18.424;27.613;8.824;18;12;0.1572;0.2700;1.246;2.559
GRAND;2;CS017;15.498;28.044;2.038;20;12;0.1565;0.2700;1.207;5.072
GRAND;2;CS018;17.802;28.964;4.836;17;12;0.1518;0.2100;1.268;4.638
GRAND;2;CS019;16.555;29.416;5.863;15;12;0.1493;0.2000;1.118;4.537
GRAND;2;CS020;22.217;22.749;11.429;13;12;0.1462;0.2200;0.926;2.673
GRAND;2;CS021;13.810;30.007;9.168;22;12;0.1386;0.1900;1.250;6.290
GRAND;2;CS022;18.913;20.448;7.702;19;11;0.2542;0.5400;1.448;2.612
GRAND;2;CS023;15.989;24.079;10.935;20;11;0.2505;0.4700;1.108;0.864
GRAND;2;CS024;16.109;24.701;6.743;21;11;0.2114;0.4200;1.246;0.796
GRAND;2;CS025;14.685;25.491;5.710;17;11;0.1976;0.4100;1.245;1.313
GRAND;2;CS026;19.011;21.524;10.987;14;11;0.1914;0.3300;1.034;1.803
GRAND;2;CS027;16.110;28.521;3.881;14;11;0.1714;0.2900;1.064;4.188
GRAND;2;CS028;12.924;28.913;7.509;13;11;0.1685;0.2400;0.882;5.138
GRAND;2;CS029;19.980;24.122;9.392;16;11;0.1669;0.2200;1.413;1.424
GRAND;2;CS030;17.488;28.803;10.364;19;11;0.1637;0.3000;1.241;4.191
GRAND;2;CS031;20.799;24.955;12.567;15;11;0.1527;0.2200;1.213;3.510
GRAND;2;CS032;21.175;23.537;9.819;14;11;0.1471;0.1800;1.118;2.463
GRAND;2;CS033;20.582;26.806;9.622;17;11;0.1435;0.2400;1.258;1.517
GRAND;2;CS034;21.935;24.798;9.283;20;11;0.1415;0.2400;1.623;2.207
GRAND;2;CS035;12.930;28.288;5.156;13;11;0.1300;0.1700;1.033;4.517
GRAND;2;CS036;16.172;29.863;8.608;16;11;0.1269;0.1700;1.237;5.564
GRAND;2;CS037;15.359;15.978;13.974;14;10;0.5593;0.9300;0.788;0.931
GRAND;2;CS038;13.977;16.230;16.158;12;10;0.4483;0.7500;0.854;0.159
GRAND;2;CS039;17.743;22.326;8.469;21;10;0.2214;0.4000;1.245;3.044
GRAND;2;CS040;14.371;27.519;4.106;10;10;0.2030;0.3700;0.911;3.537
GRAND;2;CS041;15.477;26.806;10.112;18;10;0.1922;0.3700;1.241;2.663
