replica;engine;ca_rmsd_A;clusters_total;clusters_in_sphere;threshold_A;matched;crystal_waters;recall;precision;f1;mean_match_distance_A
GRAND-rep1;GRAND;1.2449;277;271;1.0;7;9;0.7778;0.0258;0.0500;0.5755
GRAND-rep1;GRAND;1.2449;277;271;1.5;9;9;1.0000;0.0332;0.0643;0.7032
GRAND-rep1;GRAND;1.2449;277;271;2.0;9;9;1.0000;0.0332;0.0643;0.7032
GRAND-rep2;GRAND;1.6076;278;277;1.0;9;9;1.0000;0.0325;0.0629;0.7152
GRAND-rep2;GRAND;1.6076;278;277;1.5;9;9;1.0000;0.0325;0.0629;0.7152
GRAND-rep2;GRAND;1.6076;278;277;2.0;9;9;1.0000;0.0325;0.0629;0.7152
GRAND-rep3;GRAND;1.7112;287;276;1.0;6;9;0.6667;0.0217;0.0421;0.7438
GRAND-rep3;GRAND;1.7112;287;276;1.5;8;9;0.8889;0.0290;0.0561;0.8905
GRAND-rep3;GRAND;1.7112;287;276;2.0;8;9;0.8889;0.0290;0.0561;0.8905
GRAND-rep4;GRAND;1.5958;292;288;1.0;9;9;1.0000;0.0312;0.0606;0.6518
GRAND-rep4;GRAND;1.5958;292;288;1.5;9;9;1.0000;0.0312;0.0606;0.6518
GRAND-rep4;GRAND;1.5958;292;288;2.0;9;9;1.0000;0.0312;0.0606;0.6518
GRAND-rep5;GRAND;1.8111;311;301;1.0;6;9;0.6667;0.0199;0.0387;0.7034
GRAND-rep5;GRAND;1.8111;311;301;1.5;9;9;1.0000;0.0299;0.0581;0.8819
GRAND-rep5;GRAND;1.8111;311;301;2.0;9;9;1.0000;0.0299;0.0581;0.8819
GRAND-rep6;GRAND;1.5908;307;300;1.0;8;9;0.8889;0.0267;0.0518;0.6955
GRAND-rep6;GRAND;1.5908;307;300;1.5;9;9;1.0000;0.0300;0.0583;0.7330
GRAND-rep6;GRAND;1.5908;307;300;2.0;9;9;1.0000;0.0300;0.0583;0.7330
GRAND-rep7;GRAND;1.5613;292;291;1.0;8;9;0.8889;0.0275;0.0533;0.7212
GRAND-rep7;GRAND;1.5613;292;291;1.5;9;9;1.0000;0.0309;0.0600;0.7589
GRAND-rep7;GRAND;1.5613;292;291;2.0;9;9;1.0000;0.0309;0.0600;0.7589
GRAND-rep8;GRAND;1.4694;279;276;1.0;7;9;0.7778;0.0254;0.0491;0.5148
GRAND-rep8;GRAND;1.4694;279;276;1.5;9;9;1.0000;0.0326;0.0632;0.6723
GRAND-rep8;GRAND;1.4694;279;276;2.0;9;9;1.0000;0.0326;0.0632;0.6723
GRAND-rep9;GRAND;2.0995;295;285;1.0;5;9;0.5556;0.0175;0.0340;0.6990
GRAND-rep9;GRAND;2.0995;295;285;1.5;6;9;0.6667;0.0211;0.0408;0.7677
GRAND-rep9;GRAND;2.0995;295;285;2.0;9;9;1.0000;0.0316;0.0612;1.0741
GRAND-rep10;GRAND;1.3237;275;270;1.0;7;9;0.7778;0.0259;0.0502;0.6382
GRAND-rep10;GRAND;1.3237;275;270;1.5;9;9;1.0000;0.0333;0.0645;0.7263
GRAND-rep10;GRAND;1.3237;275;270;2.0;9;9;1.0000;0.0333;0.0645;0.7263
GRAND-rep11;GRAND;1.5863;284;280;1.0;9;9;1.0000;0.0321;0.0623;0.6968
GRAND-rep11;GRAND;1.5863;284;280;1.5;9;9;1.0000;0.0321;0.0623;0.6968
GRAND-rep11;GRAND;1.5863;284;280;2.0;9;9;1.0000;0.0321;0.0623;0.6968
GRAND-rep12;GRAND;1.5384;280;279;1.0;9;9;1.0000;0.0323;0.0625;0.6398
GRAND-rep12;GRAND;1.5384;280;279;1.5;9;9;1.0000;0.0323;0.0625;0.6398
GRAND-rep12;GRAND;1.5384;280;279;2.0;9;9;1.0000;0.0323;0.0625;0.6398
LOCH-rep6;LOCH;1.8458;286;281;1.0;4;9;0.4444;0.0142;0.0276;0.7515
LOCH-rep6;LOCH;1.8458;286;281;1.5;9;9;1.0000;0.0320;0.0621;0.9778
LOCH-rep6;LOCH;1.8458;286;281;2.0;9;9;1.0000;0.0320;0.0621;0.9778
LOCH-rep7;LOCH;2.3437;299;292;1.0;6;9;0.6667;0.0205;0.0399;0.6873
LOCH-rep7;LOCH;2.3437;299;292;1.5;9;9;1.0000;0.0308;0.0598;0.8079
LOCH-rep7;LOCH;2.3437;299;292;2.0;9;9;1.0000;0.0308;0.0598;0.8079
LOCH-rep8;LOCH;1.4566;277;273;1.0;6;9;0.6667;0.0220;0.0426;0.7325
LOCH-rep8;LOCH;1.4566;277;273;1.5;9;9;1.0000;0.0330;0.0638;0.8774
LOCH-rep8;LOCH;1.4566;277;273;2.0;9;9;1.0000;0.0330;0.0638;0.8774
LOCH-rep9;LOCH;1.3733;286;281;1.0;5;9;0.5556;0.0178;0.0345;0.7872
LOCH-rep9;LOCH;1.3733;286;281;1.5;9;9;1.0000;0.0320;0.0621;0.9724
LOCH-rep9;LOCH;1.3733;286;281;2.0;9;9;1.0000;0.0320;0.0621;0.9724
